Date,Reliance,SBI,TCS,Wipro,Bajaj Finance,Bharti Airtel,HDFC Bank,Hindustan Unilever,ICICI Bank,Infosys
11/1/2020,1923.611938,242.015579,2646.010254,349.145325,4900.880859,463.25,1434.640869,2109.874023,471.968048,1078.696777
12/1/2020,1978.93396,272.434753,2826.811523,384.757141,5286.657715,509.700012,1430.110474,2363.666504,533.487915,1231.479492
1/1/2021,1836.043579,279.519348,3072.290283,416.284821,4726.911621,553.599976,1384.507813,2233.908691,535.432251,1215.053833
2/1/2021,2079.111816,386.580872,2863.404053,409.633057,5256.40625,556.299988,1527.78772,2103.805664,596.004883,1229.027954
3/1/2021,1996.676758,360.967346,3143.927246,413.476807,5141.541992,517.299988,1487.213379,2399.28833,580.400513,1341.555664
4/1/2021,1988.10437,350.266174,3003.245117,491.949036,5443.104492,536.75,1406.213989,2322.568359,598.746826,1328.12085
5/1/2021,2153.372803,420.468018,3125.426758,538.173767,5618.871094,534.900024,1509.317627,2309.050049,660.815125,1366.757935
6/1/2021,2103.881836,415.365143,3326.22583,544.763062,6006.14502,525.650024,1491.445068,2438.561035,629.058105,1566.913452
7/1/2021,2035.300049,431.799988,3148.966309,586.195618,6218.052734,561.650024,1426.449951,2319.048584,680.507446,1596.352539
8/1/2021,2258.149902,426.049988,3772.569336,639.908142,7524.5,664.049988,1581.400024,2707.46167,719.049988,1691.459595
9/1/2021,2519.25,453,3761.709473,633.069275,7668.100098,688.299988,1594.949951,2685.297852,700.849976,1660.484131
10/1/2021,2536.25,502.149994,3385.294434,645.69873,7400.200195,685.349976,1582.849976,2378.532959,802.049988,1653.099609
11/1/2021,2405.399902,460.549988,3522.959473,636.214172,6997.25,728.25,1493.550049,2317.550049,714.349976,1712.650024
12/1/2021,2368.149902,460.450012,3731.792725,714.187195,6977.299805,683.799988,1479.400024,2360.149902,740.150024,1887.75
1/1/2022,2386.600098,538.299988,3729.696289,571.66925,7000.25,729.299988,1485.699951,2273.75,788.799988,1736.199951
2/1/2022,2378.699951,532.299988,3800.649902,576.650024,7014.600098,723.049988,1497,2305.649902,810.299988,1772.050049
